fastqs,sample,library_type
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_1_S13_L001_I1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_1_S13_L001_I2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_1_S13_L001_R1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_1_S13_L001_R2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_2_S14_L001_I1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_2_S14_L001_I2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_2_S14_L001_R1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_2_S14_L001_R2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_3_S15_L001_I1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_3_S15_L001_I2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_3_S15_L001_R1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_3_S15_L001_R2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_4_S16_L001_I1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_4_S16_L001_I2_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-ATAC_4_S16_L001_R1_001.fastq.gz,Chromatin Accessibility
/home/mjhemm/projects/CellRanger/01_input,KW10-GEX_S1_L001_R1_001.fastq.gz,Gene Expression
/home/mjhemm/projects/CellRanger/01_input,KW10-GEX_S1_L001_R2_001.fastq.gz,Gene Expression
